provinsi,jenis,daerah,tahun,periode,gk,encoded_jenis,encoded_daerah,scaled_gk,cluster,PC1,PC2,gk_original
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,MARET,125093.0,1,1,-1.151748020955338,4,-1.0495791464496498,-0.003653824203164513,125093.00000000003
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,125892.0,1,1,-1.146601549463147,4,-1.0450489674092334,-0.0035565481909645147,125891.99999999997
ACEH,NONMAKANAN,PERKOTAAN,2021,MARET,147729.0,1,2,-1.0059463580051016,1,-0.8257080858056577,0.9707908341513107,147729.0
ACEH,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,151144.0,1,2,-0.9839498622030579,1,-0.8063456810208983,0.9712066008367464,151144.0
ACEH,NONMAKANAN,PERKOTAAN,2022,MARET,157867.0,1,2,-0.9406460726636322,1,-0.7682275412352654,0.9720251072572983,157867.0
ACEH,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,164956.0,1,2,-0.8949848255946171,1,-0.7280342506000799,0.972888173152775,164956.0
ACEH,NONMAKANAN,PERDESAAN,2021,MARET,122118.0,1,0,-1.1709104148092413,8,-1.1619760517574336,-0.9757048108732032,122118.0
ACEH,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,126262.0,1,0,-1.1442183273703925,8,-1.1384803547067621,-0.9752002904795148,126262.0
ACEH,NONMAKANAN,PERDESAAN,2022,MARET,131658.0,1,0,-1.1094619316609264,8,-1.1078860542035232,-0.9745433425923667,131657.99999999997
ACEH,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,140763.0,1,0,-1.0508153447567956,8,-1.0562624244626055,-0.9734348343432037,140763.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,MARET,130689.0,1,1,-1.1157033970876262,4,-1.0178508837335405,-0.002972526876166448,130689.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,134643.0,1,1,-1.0902351263991108,4,-0.995432450785096,-0.0024911384503355505,134643.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,MARET,140570.0,1,1,-1.0520584849295025,4,-0.9618274806066864,-0.0017695428003861036,140570.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,149038.0,1,1,-0.9975149047093841,4,-0.9138155205137608,-0.0007385875171447287,149038.0
ACEH,TOTAL,PERKOTAAN,2013,MARET,359217.0,2,2,0.35627762565012133,6,0.8381845255239555,0.7610317270643492,359217.0
ACEH,TOTAL,PERKOTAAN,2013,SEPTEMBER,374261.0,2,2,0.4531781477133551,6,0.9234811631760547,0.7628632919298528,374261.0
ACEH,TOTAL,PERKOTAAN,2014,MARET,383186.0,2,2,0.5106653292750648,6,0.9740842269253891,0.7639498856831508,383186.0
ACEH,TOTAL,PERKOTAAN,2014,SEPTEMBER,396939.0,2,2,0.5992503385768232,6,1.0520611384934107,0.7656242749144238,396939.0
ACEH,TOTAL,PERDESAAN,2013,MARET,319416.0,2,0,0.09991378101845654,3,0.4214619405690363,-1.1871915107175095,319416.0
ACEH,TOTAL,PERDESAAN,2013,SEPTEMBER,337962.0,2,0,0.21937117813257065,3,0.5266142565684935,-1.1849335871602356,337962.0
ACEH,TOTAL,PERDESAAN,2014,MARET,350204.0,2,0,0.2982236236987836,3,0.5960240836182806,-1.1834431579470281,350204.0
ACEH,TOTAL,PERDESAAN,2014,SEPTEMBER,369232.0,2,0,0.42078565067426954,3,0.703909248550755,-1.1811265522397163,369232.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2013,MARET,303904.1855160616,2,1,0.0,6,0.4290421005711782,-0.2173912419339279,303904.1855160616
ACEH,TOTAL,PERDESAANPERKOTAAN,2013,SEPTEMBER,303904.1855160616,2,1,0.0,6,0.4290421005711782,-0.2173912419339279,303904.1855160616
ACEH,TOTAL,PERDESAANPERKOTAAN,2014,MARET,303904.1855160616,2,1,0.0,6,0.4290421005711782,-0.2173912419339279,303904.1855160616
ACEH,TOTAL,PERDESAANPERKOTAAN,2014,SEPTEMBER,303904.1855160616,2,1,0.0,6,0.4290421005711782,-0.2173912419339279,303904.1855160616
ACEH,TOTAL,PERKOTAAN,2015,MARET,410414.0,2,2,0.6860447107386202,6,1.1284618425855428,0.7672648184243054,410414.0
ACEH,TOTAL,PERKOTAAN,2015,SEPTEMBER,420324.0,2,2,0.7498764159796895,6,1.1846496702332634,0.768471333168864,420324.0
ACEH,TOTAL,PERKOTAAN,2016,MARET,427970.0,2,2,0.7991253784694186,6,1.2280010456312924,0.7694022122543227,427970.0
ACEH,TOTAL,PERKOTAAN,2016,SEPTEMBER,445488.0,2,2,0.9119612828501503,6,1.3273247958565966,0.7715349796907682,445488.0
ACEH,TOTAL,PERDESAAN,2015,MARET,382117.0,2,0,0.503779749769242,3,0.77696476411492,-1.1795578395773916,382117.0
ACEH,TOTAL,PERDESAAN,2015,SEPTEMBER,394419.0,2,0,0.5830186637829287,3,0.8467147798285684,-1.178060105532229,394419.0
ACEH,TOTAL,PERDESAAN,2016,MARET,403985.0,2,0,0.6446346165918155,3,0.9009521924701518,-1.1768954718242122,403985.0
ACEH,TOTAL,PERDESAAN,2016,SEPTEMBER,415826.0,2,0,0.720904164700746,3,0.9680884252831341,-1.1754538632379037,415826.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,MARET,390150.0,2,1,0.5555214337451764,6,0.9180395737861917,-0.20689105557355103,390150.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,SEPTEMBER,401772.0,2,1,0.630380372020828,6,0.9839341179760812,-0.20547610962387797,401772.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,MARET,410956.0,2,1,0.6895358090474657,6,1.0360056627910825,-0.2043579833459741,410956.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,SEPTEMBER,424765.0,2,1,0.7784815222335328,6,1.114300083778708,-0.20267677627154335,424765.0
ACEH,TOTAL,PERKOTAAN,2017,MARET,458011.0,2,2,0.9926236889786982,6,1.3983278398154662,0.7730596198669648,458011.0
ACEH,TOTAL,PERKOTAAN,2017,SEPTEMBER,479872.0,2,2,1.1334334678157332,2,1.5222755794932477,0.7757211353897493,479872.0
ACEH,TOTAL,PERKOTAAN,2018,MARET,486338.0,2,2,1.1750818841718131,2,1.5589365778353423,0.776508352780094,486338.0
ACEH,TOTAL,PERKOTAAN,2018,SEPTEMBER,496752.0,2,2,1.2421599243716615,2,1.6179819902594956,0.7777762281130742,496752.0
ACEH,TOTAL,PERDESAAN,2017,MARET,425730.0,2,0,0.7846972230970679,3,1.0242422340644683,-1.1742480789765406,425730.0
ACEH,TOTAL,PERDESAAN,2017,SEPTEMBER,442869.0,2,0,0.8950919351179242,3,1.1214171258963832,-1.1721614537286102,442869.0
ACEH,TOTAL,PERDESAAN,2018,MARET,454740.0,2,0,0.9715547174505915,3,1.188723453041296,-1.170716192726324,454740.0
ACEH,TOTAL,PERDESAAN,2018,SEPTEMBER,467242.0,2,0,1.0520818596225237,3,1.2596074309678147,-1.1691941092413118,467242.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,MARET,435454.0,2,1,0.8473308761509688,6,1.1749046942455579,-0.20137542045876966,435454.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,SEPTEMBER,454124.0,2,1,0.9675869747231951,6,1.2807600668169945,-0.199102400248789,454124.0
